SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,191,OTH,,"Headway / Schedule Adherence",13.000000000,22.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,230,OTH,,"Headway / Schedule Adherence",200.000000000,320.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,37,OTH,,"Headway / Schedule Adherence",113.000000000,169.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,40,OTH,,"Headway / Schedule Adherence",85.000000000,162.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,430,OTH,,"Headway / Schedule Adherence",106.000000000,155.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,505,OTH,,"Headway / Schedule Adherence",99.000000000,109.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,556,OTH,,"Headway / Schedule Adherence",40.000000000,54.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,57A,OTH,,"Headway / Schedule Adherence",21.000000000,26.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,71,KBR,,"Headway / Schedule Adherence",574.000000000,766.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Commuter,"Stoughton Line",,,"Headway / Schedule Adherence",19.000000000,23.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Boston Univ East ","Passenger Wait Time",65.660420462,303.346506583
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Kenmore ","Passenger Wait Time",325.328164328,1499.933858720
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Park Street ","Passenger Wait Time",2.665828568,7.519330500
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-C Line","Green Line","Tappan Street ","Passenger Wait Time",67.632482021,242.573973723
